run,started_at,model,temperature,ceiling,planner_attempts,turn_count,outcome,valid,latency_ms,validation_error
1,2026-09-11T23:49:35.846821+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,53347.17,
2,2026-09-11T23:50:29.202044+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,29517.19,
3,2026-09-11T23:50:58.719660+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,30663.18,
4,2026-09-11T23:51:29.383405+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,29174.35,
5,2026-09-11T23:51:58.558185+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,29633.32,
6,2026-09-11T23:52:28.191722+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,29590.39,
7,2026-09-11T23:52:57.779931+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,30509.21,
8,2026-09-11T23:53:28.291995+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,36295.25,
9,2026-09-11T23:54:04.588043+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,37888.81,
10,2026-09-11T23:54:42.476975+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,40445.37,
11,2026-09-11T23:55:22.923183+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,38525.64,
12,2026-09-11T23:56:01.449100+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,47519.94,
13,2026-09-11T23:56:48.969858+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,37691.8,
14,2026-09-11T23:57:26.661956+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,37152.31,
15,2026-09-11T23:58:03.815077+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,37320.34,
16,2026-09-11T23:58:41.135237+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,36902.17,
17,2026-09-11T23:59:18.038133+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,39095.95,
18,2026-09-11T23:59:57.134683+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,36411.09,
19,2026-09-12T00:00:33.546237+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,38411.92,
20,2026-09-12T00:01:11.958314+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,37730.77,
